player_nickname,player_team,player_age,player_country,player_played_games_last_year,player_played_games_overall
Snax,g2,31 год,Польша,92,1294
NiKo,g2,27 лет,Босния и Герцеговина,75,1079
huNter-,g2,28 лет,Босния и Герцеговина,75,709
malbsMd,g2,21 год,Гватемала,110,461
m0NESY,g2,19 лет,Россия,74,273
Aleksib,navi,27 лет,Финляндия,63,529
iM,navi,25 лет,Румыния,62,465
B1T,navi,21 год,Украина,62,338
jL,navi,24 года,Литва,63,354
w0nderful,navi,19 лет,Украина,98,227
apEX,vitality,31 год,Франция,60,1210
ZywOo,vitality,23 года,Франция,58,593
Spinx,vitality,23 года,Израиль,58,335
flameZ,vitality,21 год,Израиль,58,327
mezii,vitality,25 лет,Великобритания,65,377
jkaem,bleed,30 лет,Норвегия,129,933
hampus,bleed,25 лет,Швеция,99,693
nexa,bleed,27 лет,Сербия,85,679
nawwk,bleed,26 лет,Швеция,129,591
CYPHER,bleed,21 год,Великобритания,130,358
NertZ,heroic,25 лет,Израиль,88,248
sjuush,heroic,25 лет,Дания,82,488
degster,heroic,23 года,Россия,16,395
TeSeS,heroic,23 года,Дания,83,482
kyxsan,heroic,24 года,Македония,114,392
alex,ninjas-in-pyjamas,28 лет,Испания,77,718
REZ,ninjas-in-pyjamas,26 лет,Швеция,69,847
isak,ninjas-in-pyjamas,22 года,Швеция,77,419
r1nkle,ninjas-in-pyjamas,–,Украина,89,248
maxster,ninjas-in-pyjamas,–,Швеция,77,202
dupreeh,falcons,31 год,Дания,68,1229
Snappi,falcons,34 года,Дания,55,918
Magisk,falcons,26 лет,Дания,47,951
Maden,falcons,25 лет,Черногория,61,406
SunPayus,falcons,25 лет,Испания,62,298
biguzera,pain-gaming,27 лет,Бразилия,181,516
kauez,pain-gaming,–,Бразилия,181,330
nqz,pain-gaming,–,Бразилия,154,283
snow,pain-gaming,–,Бразилия,175,237
lux,pain-gaming,–,Бразилия,181,302
Lucky,3dmax,26 лет,Франция,137,738
Maka,3dmax,27 лет,Франция,139,720
Ex3rcice,3dmax,24 года,Франция,137,413
Djoko,3dmax,27 лет,Франция,137,493
Graviti,3dmax,–,Франция,101,185
FalleN,furia,33 года,Бразилия,86,1088
chelo,furia,26 лет,Бразилия,86,541
yuurih,furia,24 года,Бразилия,86,499
KSCERATO,furia,24 года,Бразилия,86,498
skullz,furia,22 года,Бразилия,87,344
roman,saw,32 года,Португалия,110,714
MUTiRiS,saw,31 год,Португалия,105,719
story,saw,22 года,Португалия,110,321
ewjerkz,saw,23 года,Португалия,110,304
arrozdoce,saw,22 года,Португалия,110,282
max,9z,25 лет,Уругвай,99,378
dgt,9z,23 года,Уругвай,97,348
Martinez,9z,–,Испания,117,204
buda,9z,–,Аргентина,99,200
HUASOPEEK,9z,–,Чили,94,109
bLitz,mongolz,23 года,Монголия,102,309
Techno,mongolz,19 лет,Монголия,102,281
Senzu,mongolz,–,Монголия,95,163
mzinho,mongolz,–,Монголия,102,120
910,mongolz,–,Монголия,101,165
EliGE,complexity,27 лет,США,83,1089
hallzerk,complexity,24 года,Норвегия,81,443
Grim,complexity,23 года,США,82,517
floppy,complexity,24 года,США,81,436
JT,complexity,25 лет,Южная Африка,81,522
dev1ce,astralis,28 лет,Дания,64,1177
stavn,astralis,22 года,Дания,58,568
jabbi,astralis,21 год,Дания,58,493
br0,astralis,–,Дания,100,244
Staehr,astralis,20 лет,Дания,64,300
electroNic,virtus-pro,25 лет,Россия,82,804
Jame,virtus-pro,26 лет,Россия,85,703
FL1T,virtus-pro,23 года,Россия,85,717
n0rb3r7,virtus-pro,23 года,Россия,86,572
fame,virtus-pro,21 год,Россия,86,386
NAF,liquid,26 лет,Канада,73,1059
jks,liquid,28 лет,Австралия,23,784
Twistzz,liquid,24 года,Канада,87,918
YEKINDAR,liquid,24 года,Латвия,72,607
ultimate,liquid,–,Польша,47,114
karrigan,faze,34 года,Дания,81,1295
rain,faze,29 лет,Норвегия,81,1093
frozen,faze,22 года,Словакия,85,641
ropz,faze,24 года,Эстония,81,777
broky,faze,23 года,Латвия,81,467
Brollan,mouz,22 года,Швеция,54,587
torzsi,mouz,22 года,Венгрия,74,367
Jimpphat,mouz,17 лет,Финляндия,71,261
siuhy,mouz,21 год,Польша,74,428
xertioN,mouz,20 лет,Израиль,74,260
chopper,spirit,27 лет,Россия,84,658
sh1ro,spirit,23 года,Россия,60,496
magixx,spirit,21 год,Россия,84,434
zont1x,spirit,–,Украина,84,269
donk,spirit,–,Россия,84,228
